date,project,cost
28.10.2012,99,4249
29.10.2012,29,3531
30.10.2012,97,3952
31.10.2012,60,4466
01.11.2012,43,3198
02.11.2012,67,3661
03.11.2012,12,3531
04.11.2012,47,5659
05.11.2012,63,3290
06.11.2012,92,5362
07.11.2012,60,3751
08.11.2012,80,4819
09.11.2012,30,3058
10.11.2012,8,4733
11.11.2012,34,5878
12.11.2012,20,5227
13.11.2012,2,3749
14.11.2012,75,3712
15.11.2012,92,5053
16.11.2012,86,3789
17.11.2012,37,4546
18.11.2012,18,3691
19.11.2012,84,3596
20.11.2012,81,3065
21.11.2012,8,3315
22.11.2012,27,4409
23.11.2012,35,4181
24.11.2012,90,3914
25.11.2012,85,5227
26.11.2012,83,3026
27.11.2012,51,3512
28.11.2012,96,5094
29.11.2012,24,4547
30.11.2012,42,5089
01.12.2012,31,3233
02.12.2012,49,3654
03.12.2012,33,3322
04.12.2012,82,3957
05.12.2012,91,3400
06.12.2012,61,4960
07.12.2012,79,4715
08.12.2012,49,3093
09.12.2012,10,3117
10.12.2012,9,5755
11.12.2012,17,3621
12.12.2012,16,5316
13.12.2012,7,3893
14.12.2012,10,3981
15.12.2012,32,4584
16.12.2012,97,5934
17.12.2012,32,5156
18.12.2012,79,5353
19.12.2012,49,3279
20.12.2012,44,5165
21.12.2012,25,3928
22.12.2012,85,3136
23.12.2012,15,4779
24.12.2012,80,4183
25.12.2012,47,4792
26.12.2012,85,3883
27.12.2012,48,5554
28.12.2012,19,3771
29.12.2012,50,3930
30.12.2012,24,5765
31.12.2012,76,4333
01.01.2013,75,3965
02.01.2013,52,3231
03.01.2013,75,3355
04.01.2013,45,3727
05.01.2013,12,3698
06.01.2013,59,3186
07.01.2013,25,4267
08.01.2013,66,4844
09.01.2013,94,5313
10.01.2013,26,5413
11.01.2013,24,5177
12.01.2013,80,5596
13.01.2013,31,3218
14.01.2013,20,4091
15.01.2013,89,3029
16.01.2013,73,4240
17.01.2013,43,3253
18.01.2013,12,4834
19.01.2013,67,5612
20.01.2013,98,4110
21.01.2013,32,4463
22.01.2013,60,4855
23.01.2013,83,3283
24.01.2013,48,4518
25.01.2013,53,4339
26.01.2013,11,4944
27.01.2013,10,3981
28.01.2013,77,4788
29.01.2013,69,3779
30.01.2013,14,5947
31.01.2013,36,5269
01.02.2013,90,3910
02.02.2013,99,4873
03.02.2013,30,5362
04.02.2013,98,4351
05.02.2013,37,3897
06.02.2013,15,4271
07.02.2013,51,4334
08.02.2013,88,5758
09.02.2013,94,3415
10.02.2013,79,3007
11.02.2013,27,5564
12.02.2013,22,3299
13.02.2013,14,5085
14.02.2013,94,4524
15.02.2013,5,3139
16.02.2013,44,3486
17.02.2013,10,5079
18.02.2013,93,5941
19.02.2013,82,5029
20.02.2013,9,3901
21.02.2013,39,5155
22.02.2013,15,5124
23.02.2013,78,4869
24.02.2013,34,4863
25.02.2013,12,5936
26.02.2013,84,4459
27.02.2013,8,5544
28.02.2013,81,5800
01.03.2013,8,3880
02.03.2013,27,4199
03.03.2013,54,5746
04.03.2013,34,3499
05.03.2013,24,4126
06.03.2013,32,3987
07.03.2013,61,5289
08.03.2013,52,5563
09.03.2013,16,4225
10.03.2013,77,5474
11.03.2013,51,3733
12.03.2013,77,4655
13.03.2013,71,4403
14.03.2013,99,4419
15.03.2013,83,5428
16.03.2013,18,5058
17.03.2013,34,3645
18.03.2013,12,3280
19.03.2013,84,4303
20.03.2013,1,5550
21.03.2013,7,4483
22.03.2013,90,5649
23.03.2013,3,4085
24.03.2013,99,4031
25.03.2013,55,3225
26.03.2013,57,3208
27.03.2013,87,5704
28.03.2013,56,4540
29.03.2013,79,4091
30.03.2013,18,3732
31.03.2013,41,3899
01.04.2013,71,4276
02.04.2013,1,4520
03.04.2013,23,4284
04.04.2013,48,5344
05.04.2013,81,4984
06.04.2013,2,5676
07.04.2013,21,3726
08.04.2013,92,4821
09.04.2013,16,3683
10.04.2013,84,4723
11.04.2013,26,5891
12.04.2013,86,5436
13.04.2013,96,3174
14.04.2013,52,5036
15.04.2013,99,3723
16.04.2013,90,4209
17.04.2013,50,3157
18.04.2013,84,4469
19.04.2013,55,4502
20.04.2013,47,4397
21.04.2013,21,3201
22.04.2013,6,3889
23.04.2013,81,5816
24.04.2013,96,4697
25.04.2013,84,5220
26.04.2013,93,5953
27.04.2013,97,4581
28.04.2013,97,3003
29.04.2013,31,4079
30.04.2013,99,4501
01.05.2013,64,3620
02.05.2013,78,4306
03.05.2013,17,5653
04.05.2013,33,3271
05.05.2013,98,5419
06.05.2013,48,4037
07.05.2013,48,5630
08.05.2013,8,3500
09.05.2013,70,5015
10.05.2013,86,4624
11.05.2013,60,3767
12.05.2013,23,3132
13.05.2013,78,3080
14.05.2013,22,3490
15.05.2013,8,4448
16.05.2013,71,5131
17.05.2013,80,5054
18.05.2013,22,4866
19.05.2013,89,5743
20.05.2013,38,5047
21.05.2013,48,5037
22.05.2013,84,3328
23.05.2013,28,4722
24.05.2013,42,4580
25.05.2013,11,4860
26.05.2013,35,3550
27.05.2013,51,3447
28.05.2013,66,4893
29.05.2013,69,4503
30.05.2013,39,3265
31.05.2013,82,4061
01.06.2013,79,3584
02.06.2013,28,4179
03.06.2013,65,3515
04.06.2013,51,5158
05.06.2013,95,4589
06.06.2013,33,4855
07.06.2013,13,3287
08.06.2013,88,4405
09.06.2013,64,3139
10.06.2013,52,5331
11.06.2013,82,3045
12.06.2013,94,4982
13.06.2013,77,4757
14.06.2013,79,3998
15.06.2013,96,4323
16.06.2013,83,3937
17.06.2013,96,4766
18.06.2013,22,4228
19.06.2013,67,3041
20.06.2013,9,3569
21.06.2013,45,3072
22.06.2013,29,3132
23.06.2013,63,4641
24.06.2013,81,3680
25.06.2013,11,3415
26.06.2013,29,3423
27.06.2013,65,5101
28.06.2013,42,5454
29.06.2013,7,3606
30.06.2013,24,3699
01.07.2013,28,5327
02.07.2013,87,4584
03.07.2013,75,3491
04.07.2013,45,5139
05.07.2013,64,5962
06.07.2013,67,3183
07.07.2013,78,3384
08.07.2013,44,3410
09.07.2013,91,4021
10.07.2013,55,4527
11.07.2013,5,3433
12.07.2013,89,3993
13.07.2013,61,3737
14.07.2013,67,4584
15.07.2013,33,3642
16.07.2013,17,4078
17.07.2013,17,3325
18.07.2013,89,5486
19.07.2013,75,4152
20.07.2013,49,4884
21.07.2013,97,3673
22.07.2013,58,4846
23.07.2013,41,4146
24.07.2013,7,5814
25.07.2013,86,3975
26.07.2013,31,4393
27.07.2013,44,4288
28.07.2013,70,3306
29.07.2013,12,5152
30.07.2013,98,4366
31.07.2013,52,4912
01.08.2013,72,5578
02.08.2013,58,3762
03.08.2013,70,4615
04.08.2013,40,4776
05.08.2013,14,4624
06.08.2013,95,5671
07.08.2013,80,4221
08.08.2013,91,5354
09.08.2013,55,4954
10.08.2013,81,3991
11.08.2013,25,3835
12.08.2013,77,4580
13.08.2013,64,4517
14.08.2013,71,3556
15.08.2013,58,3765
16.08.2013,21,3534
17.08.2013,29,5502
18.08.2013,82,3328
19.08.2013,40,4333
20.08.2013,84,4597
21.08.2013,3,4409
22.08.2013,35,3483
23.08.2013,93,4580
24.08.2013,5,4752
25.08.2013,54,5906
26.08.2013,32,5629
27.08.2013,49,5825
28.08.2013,46,4460
29.08.2013,22,4959
30.08.2013,26,3240
31.08.2013,33,4809
01.09.2013,95,4663
02.09.2013,47,5390
03.09.2013,30,5326
04.09.2013,4,5455
05.09.2013,19,5361
06.09.2013,93,4304
07.09.2013,15,5806
08.09.2013,7,5260
09.09.2013,83,3908
10.09.2013,27,5348
11.09.2013,13,5479
12.09.2013,72,5620
13.09.2013,41,3591
14.09.2013,91,5051
15.09.2013,65,3438
16.09.2013,55,3737
17.09.2013,55,3555
18.09.2013,46,4274
19.09.2013,84,3670
20.09.2013,40,4598
21.09.2013,56,4565
22.09.2013,68,5156
23.09.2013,100,3843
24.09.2013,54,5683
25.09.2013,93,5611
26.09.2013,50,4739
27.09.2013,24,5783
28.09.2013,52,3701
29.09.2013,37,3998
30.09.2013,19,3965
01.10.2013,70,5516
02.10.2013,37,5255
03.10.2013,7,3084
04.10.2013,16,4133
05.10.2013,20,5446
06.10.2013,1,5102
07.10.2013,30,3461
08.10.2013,73,4592
09.10.2013,100,5607
10.10.2013,49,3022
11.10.2013,99,3423
12.10.2013,6,3463
13.10.2013,89,5268
14.10.2013,33,3597
15.10.2013,91,3904
16.10.2013,45,3693
17.10.2013,64,5211
18.10.2013,68,4730
19.10.2013,79,3902
20.10.2013,33,3731
21.10.2013,82,5400
22.10.2013,73,4068
23.10.2013,90,3686
24.10.2013,4,5632
25.10.2013,27,5745
26.10.2013,96,5667
27.10.2013,27,4296
28.10.2013,20,3795
