date,project_id,net_value
29.11.2012,37,5 300.00
03.12.2012,34,7 500.00
20.12.2012,35,6 000.00
08.01.2013,89,9 700.00
17.01.2013,20,8 300.00
03.02.2013,49,7 000.00
11.02.2013,6,4 500.00
20.02.2013,28,6 100.00
12.03.2013,32,7 300.00
25.03.2013,43,7 800.00
31.03.2013,5,4 300.00
18.04.2013,90,5 000.00
28.04.2013,77,7 100.00
18.05.2013,62,4 700.00
22.05.2013,66,6 900.00
02.06.2013,96,9 100.00
12.06.2013,48,5 100.00
17.06.2013,34,4 600.00
07.07.2013,44,4 400.00
19.07.2013,11,8 200.00
06.08.2013,43,9 500.00
22.08.2013,16,4 100.00
06.09.2013,43,9 200.00
26.09.2013,42,4 200.00
07.10.2013,19,9 100.00
22.10.2013,46,7 300.00
05.11.2013,95,5 200.00
14.11.2013,47,6 800.00
25.11.2013,35,9 600.00
01.12.2013,73,4 700.00
07.12.2013,70,8 800.00
22.12.2013,63,7 600.00
30.12.2013,67,7 600.00
17.01.2014,32,5 300.00
25.01.2014,84,8 800.00
13.02.2014,20,8 200.00
04.03.2014,24,4 300.00
14.03.2014,55,6 900.00
02.04.2014,4,9 300.00
05.04.2014,8,4 900.00
08.04.2014,20,10 000.00
13.04.2014,53,8 800.00
23.04.2014,4,7 600.00
13.05.2014,64,6 300.00
26.05.2014,91,9 400.00
12.06.2014,69,10 000.00
17.06.2014,18,6 100.00
03.07.2014,3,8 900.00
10.07.2014,56,5 400.00
29.07.2014,22,4 900.00
18.08.2014,3,4 100.00
28.08.2014,6,8 700.00
01.09.2014,91,6 600.00
17.09.2014,54,9 200.00
06.10.2014,57,4 500.00
18.10.2014,85,8 800.00
30.10.2014,34,8 200.00
07.11.2014,43,6 600.00
27.11.2014,20,6 000.00
10.12.2014,41,4 900.00
14.12.2014,64,5 600.00
01.01.2015,60,7 300.00
05.01.2015,81,5 900.00
17.01.2015,61,9 500.00
21.01.2015,7,6 600.00
07.02.2015,35,5 400.00
16.02.2015,1,9 000.00
01.03.2015,33,6 300.00
19.03.2015,54,7 500.00
08.04.2015,99,5 600.00
19.04.2015,95,9 400.00
01.05.2015,76,6 300.00
16.05.2015,51,6 300.00
25.05.2015,47,4 800.00
29.05.2015,85,7 700.00
09.06.2015,70,7 400.00
25.06.2015,26,9 200.00
06.07.2015,80,8 500.00
24.07.2015,71,9 000.00
13.08.2015,96,6 600.00
01.09.2015,54,8 000.00
14.09.2015,60,9 500.00
24.09.2015,34,6 600.00
08.10.2015,89,5 200.00
15.10.2015,19,9 500.00
24.10.2015,54,9 700.00
01.11.2015,18,9 300.00
12.11.2015,42,7 800.00
27.11.2015,97,7 700.00
04.12.2015,54,4 600.00
24.12.2015,97,8 500.00
07.01.2016,85,5 300.00
24.01.2016,4,4 000.00
11.02.2016,3,8 900.00
23.02.2016,41,9 200.00
03.03.2016,82,9 300.00
07.03.2016,1,7 400.00
21.03.2016,13,4 400.00
29.03.2016,64,6 200.00
12.04.2016,76,8 600.00
25.04.2016,75,4 100.00
14.05.2016,72,4 800.00
01.06.2016,12,5 300.00
09.06.2016,77,8 800.00
15.06.2016,2,4 500.00
19.06.2016,23,4 600.00
24.06.2016,59,6 000.00
29.06.2016,67,9 600.00
15.07.2016,77,6 100.00
04.08.2016,66,4 900.00
14.08.2016,48,7 300.00
21.08.2016,73,9 100.00
07.09.2016,37,6 000.00
18.09.2016,30,4 100.00
06.10.2016,17,6 100.00
09.10.2016,85,6 500.00
14.10.2016,71,9 900.00
30.10.2016,75,8 800.00
15.11.2016,82,9 400.00
30.11.2016,79,8 300.00
16.12.2016,74,9 300.00
22.12.2016,5,7 400.00
26.12.2016,85,9 500.00
06.01.2017,62,9 200.00
10.01.2017,29,6 800.00
28.01.2017,44,8 200.00
15.02.2017,12,5 500.00
06.03.2017,41,7 300.00
10.03.2017,54,6 800.00
17.03.2017,35,5 700.00
31.03.2017,65,5 900.00
10.04.2017,73,10 000.00
24.04.2017,7,6 200.00
03.05.2017,71,8 800.00
10.05.2017,85,8 900.00
29.05.2017,89,6 500.00
08.06.2017,33,9 700.00
26.06.2017,51,6 500.00
04.07.2017,96,8 600.00
19.07.2017,66,7 700.00
25.07.2017,56,9 000.00
14.08.2017,26,9 300.00
21.08.2017,1,8 100.00
07.09.2017,12,7 100.00
20.09.2017,18,8 500.00
10.10.2017,35,4 200.00
30.10.2017,93,6 800.00
18.11.2017,16,5 400.00
29.11.2017,34,8 100.00
17.12.2017,51,5 900.00
20.12.2017,95,6 600.00
23.12.2017,75,4 700.00
05.01.2018,48,9 900.00
19.01.2018,80,9 900.00
04.02.2018,79,5 500.00
22.02.2018,3,8 700.00
10.03.2018,30,7 500.00
20.03.2018,72,7 200.00
03.04.2018,42,7 300.00
22.04.2018,10,7 700.00
29.04.2018,4,8 400.00
15.05.2018,81,7 000.00
20.05.2018,36,9 100.00
08.06.2018,55,9 700.00
21.06.2018,11,4 200.00
10.07.2018,22,4 200.00
15.07.2018,67,6 400.00
20.07.2018,33,4 000.00
30.07.2018,12,6 700.00
10.08.2018,4,5 100.00
18.08.2018,57,5 200.00
23.08.2018,62,6 300.00
31.08.2018,37,8 700.00
06.09.2018,57,6 100.00
21.09.2018,91,6 800.00
25.09.2018,88,9 500.00
30.09.2018,39,6 500.00
08.10.2018,45,5 800.00
23.10.2018,80,8 500.00
28.10.2018,19,5 700.00
11.11.2018,65,6 500.00
26.11.2018,40,5 400.00
15.12.2018,48,6 700.00
21.12.2018,64,6 500.00
07.01.2019,82,6 000.00
16.01.2019,14,8 700.00
20.01.2019,98,4 400.00
01.02.2019,72,6 300.00
16.02.2019,46,7 100.00
27.02.2019,77,6 800.00
15.03.2019,100,5 600.00
30.03.2019,38,5 800.00
11.04.2019,49,8 100.00
20.04.2019,37,6 100.00
05.05.2019,17,8 300.00
12.05.2019,90,8 700.00
