invoice_id,project,net_value,invoice_date
1,84,26 800.00,9/29/2012
2,52,21 200.00,9/30/2012
3,27,6 900.00,10/5/2012
4,74,17 900.00,10/8/2012
5,30,14 600.00,10/9/2012
6,56,27 300.00,10/12/2012
7,37,9 800.00,10/14/2012
8,4,21 200.00,10/15/2012
9,4,15 400.00,10/18/2012
10,16,23 700.00,10/22/2012
11,43,28 500.00,10/24/2012
12,33,20 200.00,10/26/2012
13,65,27 200.00,10/29/2012
14,82,25 200.00,11/3/2012
15,73,19 900.00,11/7/2012
16,56,19 300.00,11/9/2012
17,35,11 300.00,11/14/2012
18,74,10 200.00,11/16/2012
19,1,6 000.00,11/17/2012
20,6,28 400.00,11/21/2012
21,45,6 900.00,11/24/2012
1,84,26 800.00,9/29/2012
2,52,21 200.00,9/30/2012
3,27,6 900.00,10/5/2012
4,74,17 900.00,10/8/2012
5,30,14 600.00,10/9/2012
6,56,27 300.00,10/12/2012
7,37,9 800.00,10/14/2012
8,4,21 200.00,10/15/2012
9,4,15 400.00,10/18/2012
10,16,23 700.00,10/22/2012
11,43,28 500.00,10/24/2012
12,33,20 200.00,10/26/2012
13,65,27 200.00,10/29/2012
14,82,25 200.00,11/3/2012
15,73,19 900.00,11/7/2012
16,56,19 300.00,11/9/2012
17,35,11 300.00,11/14/2012
18,74,10 200.00,11/16/2012
19,1,6 000.00,11/17/2012
20,6,28 400.00,11/21/2012
21,45,6 900.00,11/24/2012
22,53,14 100.00,11/27/2012
23,49,7 700.00,12/2/2012
24,28,6 500.00,12/6/2012
25,27,5 300.00,12/8/2012
26,65,11 700.00,12/11/2012
27,39,16 700.00,12/16/2012
28,26,17 600.00,12/19/2012
29,98,12 700.00,12/20/2012
30,53,29 400.00,12/25/2012
31,85,29 200.00,12/28/2012
32,71,17 200.00,12/31/2012
33,41,13 800.00,1/2/2013
34,51,24 400.00,1/4/2013
35,91,12 200.00,1/7/2013
36,39,7 300.00,1/12/2013
37,21,15 100.00,1/15/2013
38,19,6 800.00,1/16/2013
39,47,7 600.00,1/21/2013
40,57,26 900.00,1/26/2013
41,33,15 300.00,1/31/2013
42,2,12 400.00,2/3/2013
43,89,19 800.00,2/7/2013
44,9,17 300.00,2/11/2013
45,75,26 300.00,2/14/2013
46,17,12 600.00,2/16/2013
47,89,18 100.00,2/17/2013
48,63,19 800.00,2/20/2013
49,94,17 900.00,2/24/2013
50,27,21 600.00,2/25/2013
51,30,28 300.00,3/1/2013
52,82,22 900.00,3/6/2013
53,27,27 800.00,3/11/2013
54,57,9 300.00,3/15/2013
55,15,24 300.00,3/17/2013
56,18,28 500.00,3/18/2013
57,94,19 300.00,3/21/2013
58,16,12 600.00,3/23/2013
59,98,28 500.00,3/24/2013
60,29,17 800.00,3/25/2013
61,96,21 900.00,3/26/2013
62,99,26 400.00,3/29/2013
63,93,19 500.00,4/2/2013
64,47,16 400.00,4/7/2013
65,82,26 600.00,4/11/2013
66,23,20 900.00,4/14/2013
67,53,9 600.00,4/17/2013
68,71,17 400.00,4/22/2013
69,48,21 700.00,4/23/2013
70,15,16 000.00,4/27/2013
71,67,11 300.00,5/2/2013
72,19,21 600.00,5/7/2013
73,27,26 700.00,5/10/2013
74,8,14 700.00,5/15/2013
75,41,7 300.00,5/16/2013
76,14,15 800.00,5/21/2013
77,77,29 900.00,5/26/2013
78,73,27 700.00,5/27/2013
79,7,16 300.00,6/1/2013
80,10,9 400.00,6/5/2013
81,74,13 500.00,6/7/2013
82,90,5 000.00,6/11/2013
83,31,5 600.00,6/14/2013
84,92,8 500.00,6/15/2013
85,88,5 700.00,6/16/2013
86,53,25 400.00,6/20/2013
87,8,18 900.00,6/24/2013
88,12,19 200.00,6/25/2013
89,85,10 600.00,6/26/2013
90,30,9 600.00,6/30/2013
91,51,26 100.00,7/5/2013
92,76,6 800.00,7/6/2013
93,59,26 500.00,7/10/2013
94,14,18 500.00,7/15/2013
95,79,14 400.00,7/19/2013
96,55,5 300.00,7/21/2013
97,20,29 100.00,7/24/2013
98,92,17 200.00,7/27/2013
99,46,8 200.00,7/28/2013
100,77,26 300.00,7/29/2013
101,94,18 500.00,7/30/2013
102,25,12 400.00,8/1/2013
103,81,14 400.00,8/4/2013
