project_id,client_id,project_type
1,11,erp_implementation
2,1,BI
3,8,training_services
4,13,erp_implementation
5,4,BI
6,11,BI
7,8,erp_implementation
8,6,training_services
9,14,erp_implementation
10,15,BI
11,5,BI
12,7,erp_implementation
13,16,training_services
14,4,erp_implementation
15,1,erp_implementation
16,2,BI
17,10,erp_implementation
18,13,erp_implementation
19,10,erp_implementation
20,1,BI
21,14,training_services
22,10,BI
23,7,BI
24,2,erp_implementation
25,3,training_services
26,10,erp_implementation
27,4,erp_implementation
28,11,erp_implementation
29,13,erp_implementation
30,6,training_services
31,18,erp_implementation
32,16,erp_implementation
33,3,BI
34,15,training_services
35,19,erp_implementation
36,2,BI
37,8,erp_implementation
38,1,BI
39,8,erp_implementation
40,4,erp_implementation
41,16,training_services
42,14,erp_implementation
43,10,erp_implementation
44,2,erp_implementation
45,15,erp_implementation
46,12,BI
47,8,BI
48,3,erp_implementation
49,12,erp_implementation
50,4,erp_implementation
51,19,erp_implementation
52,18,erp_implementation
53,7,erp_implementation
54,20,erp_implementation
55,17,training_services
56,8,erp_implementation
57,4,erp_implementation
58,8,erp_implementation
59,3,erp_implementation
60,19,BI
61,18,erp_implementation
62,3,erp_implementation
63,13,erp_implementation
64,20,BI
65,17,BI
66,3,training_services
67,14,erp_implementation
68,7,BI
69,3,erp_implementation
70,4,erp_implementation
71,11,erp_implementation
72,15,erp_implementation
73,11,training_services
74,10,erp_implementation
75,20,erp_implementation
76,13,erp_implementation
77,12,BI
78,20,erp_implementation
79,14,training_services
80,7,erp_implementation
81,11,erp_implementation
82,13,BI
83,19,BI
84,1,erp_implementation
85,17,training_services
86,17,erp_implementation
87,16,BI
88,13,erp_implementation
89,4,erp_implementation
90,1,BI
91,13,training_services
92,8,erp_implementation
93,6,BI
94,5,erp_implementation
95,10,BI
96,7,training_services
97,9,BI
98,16,BI
99,3,BI
100,15,BI
